ViTri;KyHIeu;MoTa;LON;LAT
Bùi Đình Túy;HCM_NM_BĐT;Khu vực gần công viên đường số 4, giáp bờ sông, gần đường Chu Văn An, phường Bình Thạnh;1.195.618,16;604.503,66
Bùi Hữu Nghĩa;HCM_NM_BHN;Khu vực cầu Bùi Hữu Nghĩa, đoạn rạch Cầu Bông đổ ra kênh Nhiêu Lộc – Thị Nghè;1.193.817,14;603.456,79
Cầu Văn Thánh;HCM_NM_RVT;Khu vực cầu Văn Thánh trên đường Điện Biên Phủ;1.194.529,63;605.470,99
Cầu Văn Thánh 2;HCM_NM_RVT2;Khu vực cầu Văn Thánh 2 trên đường Nguyễn Hữu Cảnh, đoạn qua rạch Văn Thánh;1.193.315,22;605.123,10
Cầu số 1;HCM_NM_CS1;Khu vực Cầu số 1, đầu tuyến kênh Nhiêu Lộc – Thị Nghè;1.193.728,50;599.266,94
Lê Văn Sỹ;HCM_NM_LVS;Khu vực cầu Lê Văn Sỹ, nối đường Lê Văn Sỹ và đường Trần Quốc Thảo;1.192.989,42;601.704,22
Hải Đức;HCM_NM_HĐ;Đoạn kênh khu vực gần Chùa Hải Đức, phường Cầu Kiệu;1.194.159,10;602.162,10
Điện Biên Phủ;HCM_NM_ĐBP;Khu vực cầu Điện Biên Phủ, gần Vòng xoay Điện Biên Phủ;1.193.727,43;603.757,16
Thị Nghè 2;HCM_NM_TN2;Khu vực cầu Thị Nghè 2 trên đường Nguyễn Hữu Cảnh, gần Thảo Cầm Viên;1.193.127,66;604.702,14
Hòa Bình;HCM_NM_HB;Khu vực cống xả Hòa Bình, phía sau Công viên Văn hóa Đầm Sen, đoạn đường Nguyễn Trọng Quyền;1.190.540,93;596.673,05
Ông Buông;HCM_NM_OB;Khu vực cầu Ông Buông, Phường Bình Tây;1.189.193,18;596.996,14
Rạch Ngựa;HCM_NM_RN;Khu vực cầu Phú Định, đoạn hợp lưu rạch Ruột Ngựa – kênh Lò Gốm;1.187.106,94;596.474,63
Cầu Mống;HCM_NM_CMo;Khu vực cầu Mống, phường Xóm Chiểu;1.190.977,90;604.216,01
Cầu Chữ Y;HCM_NM_CCY;Khu vực cầu Chữ Y, đoạn hợp lưu kênh Đôi - Kênh Tàu Hũ;1.189.092,78;601.859,11
Chà Và;HCM_NM_CV;Khu vực cầu Chà Và, Phường Phú Định;1.188.789,45;599.372,54
Tân Thuận;HCM_NM_TThu;Khu vực cầu Tân Thuận, phường Tân Thuận. Đoạn kênh Tẻ đổ ra sông Sài Gòn;1.189.550,48;605.923,25
Kênh Tẻ;HCM_NM_KT;Khu vực cầu Kênh Tẻ trên đường Nguyễn Hữu Thọ;1.189.219,64;603.966,82
Chánh Hưng;HCM_NM_CH;Khu vực cầu Chánh Hưng, phường Chánh Hưng;1.188.291,50;600.322,25
Nhị Thiên Đường;HCM_NM_NTĐ;Khu vực cầu Nhị Thiên Đường, phường Bình Đông;1.188.036,91;598.910,63
Phú Định;HCM_NM_PĐ;Khu vực gần Bến đò Hội Đồng, khúc giao giữa đường Lưu Hữu Phước và đường Cầu Bến Tranh;1.185.597,36;596.321,12
Hồ Ngọc Lãm;HCM_NM_HNL;Tại bến phà Phú Định;1.184.528,21;594.729,15
Bình Ðiền;HCM_NM_BĐ;Cầu Bình Điền, QL 1A;1.183.575,74;592.524,07
Chợ Đệm;HCM_NM_CĐe;Tại khu vực cầu Chợ Đệm;1.182.395,74;589.311,29
Cầu Rạch Ngang;HCM_NM_CRN;Trên đường Nguyễn Văn Linh cách Quốc lộ 50 khoảng 280 m theo hướng Đông Bắc;1.185.637,98;599.068,51
Xóm Củi;HCM_NM_XC;Trên cầu Xóm Củi giao giữa đường Nguyễn Văn Linh và rạch Hiệp An;1.186.342,73;600.398,49
Ông Lớn;HCM_NM_OL;Khu vực cầu Ông Lớn trên đường Nguyễn Văn Linh;1.186.604,34;602.653,86
Cần Giuộc;HCM_NM_CG;Tại khu vực cầu Cần Giuộc;1.183.069,52;595.186,31
Bà Lào;HCM_NM_BLa;Tại khu vực cầu Bà Lào;1.178.878,55;602.112,31
Long Hậu Tân Kim;HCM_NM_LHTK;Tại bến phà Long Hậu – Tân Kim;1.177.287,82;601.000,68
Phú Xuân;HCM_NM_PX;Khu vực cầu Phú Xuân, đường Huỳnh Tấn Phát, Xã Hiệp Phước;1.183.837,76;607.869,72
Hiệp Phước;HCM_NM_HPh;Khu vực gần cầu Đồng Điền;1.177.107,89;608.441,80
TBNM1;HCM_NM_TBNM1;Kênh Thầy Cai – cách ngã 3 kênh 15 và kênh Thầy Cai khoảng 500 m về hướng dân cư.;1.211.225,78;575.246,71
TBNM5;HCM_NM_TBNM5;Kênh Thầy Cai – cách kênh 18 khoảng 500 m, hướng về phía thượng nguồn.;1.213.632,67;572.130,83
