ts,day,noi_thuc_hien,vi_tri_qt,sample,sample_qc,status,note,key
2026-05-10T11:12:47,11,ĐPNM1 - HCM_NM_ĐPNM1 - 01,ĐPNM1 - 01,1,,ok,,11|ĐPNM1 - HCM_NM_ĐPNM1 - 01|ĐPNM1 - 01|1|
2026-05-10T11:12:54,11,ĐPNM4 - HCM_NM_ĐPNM4 - 01,ĐPNM4 - 01,1,,ok,,11|ĐPNM4 - HCM_NM_ĐPNM4 - 01|ĐPNM4 - 01|1|
2026-05-10T11:13:00,11,ĐPNM5 - HCM_NM_ĐPNM5 - 01,ĐPNM5 - 01,1,,ok,,11|ĐPNM5 - HCM_NM_ĐPNM5 - 01|ĐPNM5 - 01|1|
2026-05-10T11:13:07,11,ĐPNM8 - HCM_NM_ĐPNM8 - 01,ĐPNM8 - 01,1,,ok,,11|ĐPNM8 - HCM_NM_ĐPNM8 - 01|ĐPNM8 - 01|1|
2026-05-10T11:13:14,11,ĐPNM1 - HCM_NM_ĐPNM1 - 02,ĐPNM1 - 02,1,,ok,,11|ĐPNM1 - HCM_NM_ĐPNM1 - 02|ĐPNM1 - 02|1|
2026-05-10T11:13:20,11,ĐPNM4 - HCM_NM_ĐPNM4 - 02,ĐPNM4 - 02,1,,ok,,11|ĐPNM4 - HCM_NM_ĐPNM4 - 02|ĐPNM4 - 02|1|
2026-05-10T11:13:27,11,ĐPNM5 - HCM_NM_ĐPNM5 - 02,ĐPNM5 - 02,1,,ok,,11|ĐPNM5 - HCM_NM_ĐPNM5 - 02|ĐPNM5 - 02|1|
2026-05-10T11:13:34,11,ĐPNM8 - HCM_NM_ĐPNM8 - 02,ĐPNM8 - 02,1,,ok,,11|ĐPNM8 - HCM_NM_ĐPNM8 - 02|ĐPNM8 - 02|1|
2026-05-10T11:13:41,11,Bà Lào - HCM_NM_BLa - Triều Lên,Bà Lào - Triều Lên,1,1,ok,,11|Bà Lào - HCM_NM_BLa - Triều Lên|Bà Lào - Triều Lên|1|1
2026-05-10T11:13:48,11,Long Hậu Tân Kim - HCM_NM_LHTK - Triều Lên,Long Hậu Tân Kim - Triều Lên,1,,ok,,11|Long Hậu Tân Kim - HCM_NM_LHTK - Triều Lên|Long Hậu Tân Kim - Triều Lên|1|
2026-05-10T11:13:55,11,Phú Xuân - HCM_NM_PX - Triều Lên,Phú Xuân - Triều Lên,1,,ok,,11|Phú Xuân - HCM_NM_PX - Triều Lên|Phú Xuân - Triều Lên|1|
2026-05-10T11:14:02,11,Hiệp Phước - HCM_NM_HPh - Triều Lên,Hiệp Phước - Triều Lên,1,,ok,,11|Hiệp Phước - HCM_NM_HPh - Triều Lên|Hiệp Phước - Triều Lên|1|
2026-05-10T11:14:09,11,Bà Lào - HCM_NM_BLa - Triều Xuống,Bà Lào - Triều Xuống,1,,ok,,11|Bà Lào - HCM_NM_BLa - Triều Xuống|Bà Lào - Triều Xuống|1|
